LOI,LOI_class,DBDPE,ZHS,ZS,Sb2O3,MgOH2,DOPO
29.7,2,37.5,0,0,12.5,0,0
28.5,2,19.5,1.5,0,5,0,0
28,2,19.5,2.5,0,4,0,0
27.7,2,12,2,0,2,0,0
27.5,2,19.5,0.5,0,6,0,0
27.3,2,12,1,0,3,0,0
27.3,2,19.5,4.5,0,2,0,0
27.3,2,19.5,5.5,0,1,0,0
27.2,2,19.5,2.5,0.1,4,0.2,1
27,2,19.5,3.5,0,3,0,0
26.6,2,19.5,6.5,0,0,0,0
26.5,2,12,3,0,1,0,0
26.5,2,27,0,2,7,0,0
26.4,2,0,0,27,0,9,0
26.1,2,12,0,0,4,0,0
26.1,2,27,6,0,3,0,0
26,2,19.5,0,0,6.5,0,0
26,2,4.5,0.5,0,1,0,0
26,2,27,0,0,9,0,0
26,2,27,4,0,5,0,0
25.7,2,4.5,1,0,0.5,0,0
25.7,2,12,4,0,0,0,0
25.7,2,27,2,0,7,0,0
25.6,2,27,0,4,5,0,0
25.6,2,12,4,0.1,0,0.5,1
25.5,2,27,8,0,1,0,0
25.3,2,27,0,6,3,0,0
25.1,2,27,9,0,0,0,0
25,2,12,0,2,2,0,0
25,2,19.5,0,0.5,6,0,0
24.8,1,12,0,1,3,0,0
24.8,1,0,5.25,0,0,0,15.75
24.8,1,0,15.5,0,0,0,15.5
24.7,1,4.5,0,0,1.5,0,0
24.7,1,0,0,5.25,0,0,15.75
24.7,1,0,4,0,0,0,12
24.7,1,0,10.5,0,0,0,10.5
24.6,1,19.5,0,1.5,5,0,0
24.6,1,19.5,0,4.5,2,0,0
24.6,1,0,0,7.75,0,0,23.25
24.6,1,0,13,0,0,0,13
24.5,1,19.5,0,2.5,4,0,0
24.5,1,19.5,0,3.5,3,0,0
24.5,1,34.5,0,0,11.5,0,0
24.3,1,19.5,0,5.5,1,0,0
24.3,1,0,0,9,0,27,0
24.2,1,34.5,11.5,0,0,0,0
24.2,1,10,5,5,0,5,15
24.1,1,0,0,18,0,18,0
24.1,1,0,2.75,0,0,0,8.25
24,1,27,0,8,1,0,0
24,1,0,0,7.75,0,23.25,0
24,1,0,0,6.5,0,0,19.5
24,1,5,5,0,2,5,10
23.8,1,4.5,1.5,0,0,0,0
23.8,1,37.5,12.5,0,0,0,0
23.8,1,12,0,3,1,0,0
23.8,1,0,6.5,0,0,0,19.5
23.8,1,10,5,0,5,25,5
23.8,1,15,5,0,2,10,10
23.7,1,0,1.5,0,0,0,4.5
23.7,1,0,5.5,0,0,0,5.5
23.7,1,0,15.75,0,0,0,5.25
23.6,1,4.5,0,0.5,1,0,0
23.6,1,19.5,0,6.5,0,0,0
23.6,1,27,0,9,0,0,0
23.6,1,0,0,9,0,0,27
23.5,1,0,0,15.5,0,0,15.5
23.5,1,0,8,0,0,0,8
23.5,1,10,5,5,0,10,10
23.4,1,0,12,0,0,0,4
23.3,1,0,11.5,0,0,34.5,0
23.3,1,0,0,10.5,0,0,10.5
23.2,1,0,0,13,0,0,13
23.2,1,0,0,18,0,0,18
23.2,1,0,8.25,0,0,0,2.75
23.1,1,4.5,0,1.5,0,0,0
23.1,1,0,0,23.25,0,7.75,0
23,1,0,23,0,0,23,0
23,1,0,0,19.5,0,0,6.5
23,1,0,19.5,0,0,0,6.5
23,1,5,0,5,2,30,5
22.8,1,37.5,0,12.5,0,0,0
22.8,1,0,4.5,0,0,0,1.5
22.8,1,18,5,0,6,6,0
22.7,1,10,5,0,5,20,5
22.6,1,12,0,4,0,0,0
22.6,1,18,0,5,6,6,0
22.5,1,0,0,34.5,0,11.5,0
22.5,1,0,3,0,0,0,3
22.5,1,5,0,5,5,25,5
22.3,0,34.5,0,11.5,0,0,0
22.3,0,0,0,11.5,0,34.5,0
22,0,0,34.5,0,0,11.5,0
22,0,0,0,15.75,0,0,5.25
21.8,0,0,9,0,0,27,0
21.8,0,5,5,5,2,20,5
21.8,0,5,5,0,2,10,10
21.5,0,0,0,3,0,3,0
21.5,0,0,7.75,0,0,23.25,0
21.5,0,5,5,0,2,20,5
21.5,0,5,5,5,0,15,10
21.4,0,5,5,0,5,20,5
21.4,0,5,5,0,5,15,10
21.2,0,0,0,4,0,0,12
21.2,0,0,0,23.25,0,0,7.75
21.2,0,5,5,0,2,15,10
21,0,0,0,15.5,0,15.5,0
21,0,0,19.5,0,0,6.5,0
21,0,0,0,27,0,0,9
20.7,0,4.5,0,1,0.5,0,0
20.7,0,0,5.25,0,0,15.75,0
20.7,0,0,0,2.75,0,0,8.25
20.6,0,0,18,0,0,18,0
20.5,0,0,0,8,0,8,0
20.5,0,0,0,6.5,0,19.5,0
20.5,0,0,12,0,0,4,0
20.4,0,0,10.5,0,0,10.5,0
20.3,0,0,0,15.75,0,5.25,0
20.3,0,0,0,19.5,0,6.5,0
20.3,0,0,13,0,0,13,0
20.3,0,0,6.5,0,0,19.5,0
20.3,0,0,23.25,0,0,7.75,0
20.2,0,0,0,8.25,0,2.75,0
20.2,0,0,0,4,0,12,0
20.2,0,0,0,10.5,0,10.5,0
20.2,0,0,4,0,0,12,0
20.2,0,0,0,1.5,0,0,4.5
20.2,0,0,0,12,0,0,4
20.1,0,0,0,12,0,4,0
20.1,0,0,0,5.25,0,15.75,0
20.1,0,0,15.5,0,0,15.5,0
20,0,0,0,23,0,23,0
20,0,0,5.5,0,0,5.5,0
20,0,0,8,0,0,8,0
20,0,0,15.75,0,0,5.25,0
20,0,0,27,0,0,9,0
20,0,0,0,5.5,0,0,5.5
20,0,0,0,8,0,0,8
19.9,0,0,8.25,0,0,2.75,0
19.8,0,0,3,0,0,3,0
19.8,0,0,4.5,0,0,1.5,0
19.8,0,0,0,4.5,0,0,1.5
19.7,0,0,0,1.5,0,4.5,0
19.7,0,0,0,13,0,13,0
19.7,0,0,2.75,0,0,8.25,0
19.7,0,0,0,3,0,0,3
19.6,0,0,0,2.75,0,8.25,0
19.6,0,0,1.5,0,0,4.5,0
19.5,0,0,0,4.5,0,1.5,0
19.5,0,0,0,5.5,0,5.5,0
19.5,0,0,0,8.25,0,0,2.75
19,0,0,0,0,0,0,0
