tensile,tensile_class,DBDPE,ZHS,ZS,Sb2O3,MgOH2,DOPO
22.575,2,4.5,0,0.5,1,0,0
22.54166667,2,4.5,0,0,1.5,0,0
22.35,2,0,0,18,0,18,0
22.325,2,0,0,9,0,27,0
22.2,2,4.5,0.5,0,1,0,0
22.1,2,0,0,27,0,9,0
22.075,2,0,0,34.5,0,11.5,0
22.06666667,2,12,0,3,1,0,0
22.05,2,4.5,0,1.5,0,0,0
22.05,2,0,0,7.75,0,23.25,0
22.05,2,0,0,11.5,0,34.5,0
22.025,2,0,0,23.25,0,7.75,0
21.825,2,0,0,6.5,0,19.5,0
21.73333333,2,4.5,1,0,0.5,0,0
21.66,2,0,0,13,0,13,0
21.65,2,0,0,15.5,0,15.5,0
21.63333333,2,12,0,2,2,0,0
21.625,2,0,0,23,0,23,0
21.6,2,4.5,0,1,0.5,0,0
21.575,2,12,0,0,4,0,0
21.5,2,0,9,0,0,27,0
21.45,2,0,34.5,0,0,11.5,0
21.4,2,4.5,1.5,0,0,0,0
21.4,2,12,1,0,3,0,0
21.375,2,12,0,1,3,0,0
21.36666667,2,12,2,0,2,0,0
21.275,2,0,11.5,0,0,34.5,0
21.2,2,0,27,0,0,9,0
21.2,2,0,0,4.5,0,0,1.5
21.075,2,12,0,4,0,0,0
21.05,2,0,7.75,0,0,23.25,0
21.015,2,5,5,0,2,10,10
20.96666667,2,19.5,0,0.5,6,0,0
20.91666667,2,19.5,0,0,6.5,0,0
20.86,2,0,23,0,0,23,0
20.83333333,2,12,4,0,0,0,0
20.8,2,12,3,0,1,0,0
20.76666667,2,19.5,0,1.5,5,0,0
20.75,2,0,4.5,0,0,0,1.5
20.72,2,0,0,5.5,0,5.5,0
20.65,2,0,0,3,0,0,3
20.62,2,0,0,4.5,0,1.5,0
20.6,2,0,6.5,0,0,19.5,0
20.56666667,2,19.5,0,4.5,2,0,0
20.503,2,18,0,5,6,6,0
20.46666667,2,19.5,0,3.5,3,0,0
